Media Source,Date,Tweets Ago,Text,Compound,Negative,Neutral,Positive
CBSNews,Thu Mar 08 20:53:20 +0000 2018,30,"""Due to the unique nature of our relationship with Canada and Mexico, we are negotiating NAFTA -- we are going to h… https://t.co/l5LeV1z2cz",0.0,1.0,0.0,0.0
CBSNews,Thu Mar 08 20:46:54 +0000 2018,31,"""The actions we are taking today are not a matter of choice, they are a matter of necessity for our security,"" Pres… https://t.co/1VlwPTd9ir",-0.0382,0.898,0.102,0.0
CBSNews,Thu Mar 08 20:44:44 +0000 2018,32,"""Today, I am defending America's national security, by placing tariffs on foreign imports of steel &amp; aluminum,"" Pre… https://t.co/7nKXkalnZR",0.34,0.876,0.0,0.124
CBSNews,Thu Mar 08 20:43:23 +0000 2018,33,"Pres. Trump: ""We have to protect and build our steel and aluminum industries, while at the same time showing great… https://t.co/U79uBUOv6d",0.3818,0.885,0.0,0.115
CBSNews,Thu Mar 08 20:40:32 +0000 2018,34,WATCH LIVE: Pres. Trump to sign new tariffs on aluminum and steel imports at White House https://t.co/0imZ0NeDGE https://t.co/QOmtFLo1nV,0.0,1.0,0.0,0.0
CBSNews,Thu Mar 08 20:26:01 +0000 2018,35,AHEAD: Pres. Trump to sign proclamation on steel and aluminum tariffs at the White House; the tariffs — 25 percent… https://t.co/Matq54eOyc,0.0,1.0,0.0,0.0
CBSNews,Thu Mar 08 20:11:01 +0000 2018,36,President Trump will sign proclamations that will institute a 25 percent tariff on steel and a 10 percent tariff on… https://t.co/1x53iEhFv1,0.0,1.0,0.0,0.0
CBSNews,Thu Mar 08 19:45:30 +0000 2018,37,"This big cat is getting a CAT scan. No really, this lion is getting a CAT scan so that doctors can help treat his i… https://t.co/rivVz661b3",0.4939,0.734,0.077,0.189
CBSNews,Thu Mar 08 19:25:29 +0000 2018,38,Head of U.S. Forest Service steps down amid sexual misconduct allegations https://t.co/DmVZWFoHGi https://t.co/ej4QgEqkcG,0.0,1.0,0.0,0.0
CBSNews,Thu Mar 08 19:05:02 +0000 2018,39,The FBI has opened a criminal investigation into a white North Carolina police officer shown on body camera footage… https://t.co/IgehJqEmtM,-0.5267,0.833,0.167,0.0
CNN,Thu Mar 08 23:16:06 +0000 2018,40,RT @AC360: New clues emerge in Amelia Earhart's mysterious disappearance https://t.co/c8FFPn5lvK https://t.co/2NRkMJoxjS,0.0,1.0,0.0,0.0
CNN,Thu Mar 08 23:11:44 +0000 2018,41,"Russians' ""Hilltendo"" game, released weeks before 2016 election, had 3 levels:

-""Help Hillary delete as many class… https://t.co/jgt7279BIY",0.0,1.0,0.0,0.0
CNN,Thu Mar 08 23:01:00 +0000 2018,42,"Fake news travels at a markedly faster rate on Twitter than accurate information, a new study finds… https://t.co/jTut8mES7R",-0.4767,0.829,0.171,0.0
CNN,Thu Mar 08 22:59:50 +0000 2018,43,Republicans are performing at a historic low on the generic congressional ballot | Analysis by Harry Enten… https://t.co/1cGpVkxeyb,-0.2732,0.877,0.123,0.0
CNN,Thu Mar 08 22:53:58 +0000 2018,44,"""O.J. Simpson: The Lost Confession?"" is a two-hour special cobbled together from material the network opted not to… https://t.co/TadIuzegj7",0.1027,0.762,0.11,0.129
CNN,Thu Mar 08 22:44:14 +0000 2018,45,"Cindy McCain tweeted to let the public know that her husband, Arizona Republican Sen. John McCain, is ""doing fine""… https://t.co/x89Hid3v8e",0.0,1.0,0.0,0.0
CNN,Thu Mar 08 22:41:40 +0000 2018,46,"""We have not had a new class of antivirals for 20 years,"" the director of a research authority said during a congre… https://t.co/4mZsQD3o3p",0.0772,0.936,0.0,0.064
CNN,Thu Mar 08 22:33:03 +0000 2018,47,"With America facing a massive nursing shortage, some hospitals are offering five-figure signing bonuses, free housi… https://t.co/tyTDsUsOOk",0.7096,0.594,0.091,0.315
CNN,Thu Mar 08 22:33:00 +0000 2018,48,McDonald's is celebrating #InternationalWomensDay by flipping its famous golden arches https://t.co/biYp1YVTaj https://t.co/zxmxcnboZ5,0.5719,0.748,0.0,0.252
CNN,Thu Mar 08 22:24:48 +0000 2018,49,"JUST IN: President Trump tells reporters that South Korea will make a ""major announcement"" concerning North Korea a… https://t.co/sTJhwnYh9b",0.0,1.0,0.0,0.0
CNN,Thu Mar 08 22:11:01 +0000 2018,50,The IRS says it has $1.1 billion in unclaimed tax refunds for 2014. Now's your last chance to claim it.… https://t.co/dsyeTUeNmZ,0.25,0.909,0.0,0.091
CNN,Thu Mar 08 22:08:10 +0000 2018,51,"RT @TheLeadCNN: More than 100 GOP members of Congress wrote Trump on Wednesday urging him to ""reconsider the idea of broad tariffs to avoid…",0.0,1.0,0.0,0.0
CNN,Thu Mar 08 22:04:57 +0000 2018,52,"When NASA's Parker Solar Probe travels into the sun's atmosphere, you can ride along. Well, your name can.… https://t.co/XqFJGw25fo",0.2732,0.896,0.0,0.104
CNN,Thu Mar 08 22:01:20 +0000 2018,53,A senior adviser at HUD spread a false conspiracy theory that claimed Hillary Clinton's 2016 presidential campaign… https://t.co/sKaKkCuZXu,-0.5267,0.815,0.185,0.0
CNN,Thu Mar 08 22:00:47 +0000 2018,54,"Why block a user when the mute button could do?

That is one of the questions posed in a lawsuit alleging that Pres… https://t.co/YPNMw3wWoc",-0.5859,0.806,0.194,0.0
CNN,Thu Mar 08 21:55:24 +0000 2018,55,"""President Trump might be facing a period of stormy news coverage over allegations he paid to cover up an affair wi… https://t.co/9ewX30Rcr1",0.0,1.0,0.0,0.0
CNN,Thu Mar 08 21:53:33 +0000 2018,56,Sen. Jeff Flake threatens to introduce legislation to nullify President Trump's tariffs https://t.co/bWttC10UQt https://t.co/r6rHfLiP6i,-0.3818,0.833,0.167,0.0
CNN,Thu Mar 08 21:51:50 +0000 2018,57,"Tesla CEO Elon Musk wants his electric car company to be competitive in China, and he's asking for US President Tru… https://t.co/xn4FmAZvMp",0.1779,0.925,0.0,0.075
CNN,Thu Mar 08 21:50:32 +0000 2018,58,PlayStation 4's latest update gives parents the ability to restrict how long a child uses the system… https://t.co/OW3V6neOEb,-0.0772,0.754,0.131,0.116
CNN,Thu Mar 08 21:44:08 +0000 2018,59,"Trump's tariff plan has spooked markets, prompted his chief economist's resignation, rattled major US allies and wi… https://t.co/3RqTOD1kMP",-0.296,0.885,0.115,0.0
FoxNews,Thu Mar 08 23:10:59 +0000 2018,60,"Criminals can easily hack into your web browser, report says https://t.co/BR0nqckSDK",-0.3182,0.596,0.245,0.159
FoxNews,Thu Mar 08 23:08:31 +0000 2018,61,"President @realDonaldTrump announces ""major statement"" about North Korea from South Korean officials.… https://t.co/8voQnCkqa6",0.0,1.0,0.0,0.0
FoxNews,Thu Mar 08 23:03:36 +0000 2018,62,"South Korea expected to make 'major statement' on North Korea at 7 pm ET, Trump says - via @brookefoxnews 
https://t.co/3XXK4U0g2C",0.0,1.0,0.0,0.0
FoxNews,Thu Mar 08 23:02:44 +0000 2018,63,Former Obama aide Kal Penn wants Schumer 'out of office' after pro-Israel speech https://t.co/nkoYgI4gAo,0.0,1.0,0.0,0.0
FoxNews,Thu Mar 08 22:48:25 +0000 2018,64,".@kimguilfoyle: “It goes, you know, to show you where somebody has this kind of intention, they’re going to do what… https://t.co/Jiu0PYho4G",0.0,1.0,0.0,0.0
FoxNews,Thu Mar 08 22:38:19 +0000 2018,65,BREAKING: @POTUS: South Korea to make 'major statement' on North Korea at 7 pm ET https://t.co/EOHLSJstjp,0.0,1.0,0.0,0.0
